Episode,Score,Average Score,tau
512,-104.65938363300799,-119.95526362210609,0.0001
513,-93.54542676043222,-119.22093038073007,0.0001
514,-95.70712196311932,-119.48801456156193,0.0001
515,-167.01911513691,-120.5101287191398,0.0001
516,-215.24861978514653,-120.93728477664673,0.0001
517,-220.33366722166625,-121.71264718575941,0.0001
518,-495.7832789739007,-126.69791255109789,0.0001
519,-207.20415000412257,-128.42837960106397,0.0001
520,-169.50537575283585,-129.35878544161542,0.0001
521,-251.3072468111627,-131.6263390332905,0.0001
522,-198.2817320500804,-132.40146456364064,0.0001
523,-90.524263675921,-131.11635505281376,0.0001
524,6.178405127333578,-129.01762867282523,0.0001
525,-90.08652714130662,-128.45909605720146,0.0001
526,-116.20165660410103,-128.6710611325601,0.0001
527,-44.07159111311589,-127.15088461408344,0.0001
528,-84.8052975669764,-126.20162055285971,0.0001
529,-77.90365815654306,-125.81756852862398,0.0001
530,-123.70134913650773,-125.56579878688541,0.0001
531,-47.195709039236725,-126.43395153083603,0.0001
532,-123.79317466785349,-126.16004273604688,0.0001
533,-120.5923544509222,-126.47149007073001,0.0001
534,-102.84390471494928,-125.6200210976542,0.0001
535,-143.96184152537114,-126.3213157974783,0.0001
536,-147.7684115419409,-127.31894367952549,0.0001
537,-84.77353696124455,-127.80784562361943,0.0001
538,-92.40736689877109,-128.00984665979263,0.0001
539,-153.22052436578235,-127.75822717908497,0.0001
540,-228.68214875716836,-129.60644818366552,0.0001
541,-69.70517747684461,-129.71040974572662,0.0001
542,-185.73033176381225,-131.199916611645,0.0001
543,-243.6886534390474,-131.69989719687246,0.0001
544,-188.8373907224203,-133.10549724264916,0.0001
545,-32.47795276649005,-132.34196201923123,0.0001
546,-214.26940468832368,-133.74783087617126,0.0001
547,-61.53818340792199,-133.83445488353055,0.0001
548,-111.83319892164843,-134.18100699608542,0.0001
549,-120.79501909051413,-134.98655543162766,0.0001
550,-28.211543548696795,-134.95517318545618,0.0001
551,-34.22594037980724,-134.2623118090182,0.0001
552,-169.4859673628137,-133.88246788810457,0.0001
553,-202.3442412265042,-135.3842483017334,0.0001
554,-115.57196471956746,-134.78849748671837,0.0001
555,-70.81743245136055,-134.15868604615093,0.0001
556,-104.35944910521351,-134.06672714273725,0.0001
557,-45.71911574149315,-132.93790680778739,0.0001
558,-70.56426401799649,-132.39617462749814,0.0001
559,-205.65714556854152,-132.98272059025493,0.0001
560,-76.84515599402512,-132.00385782054673,0.0001
561,-204.35630291932523,-132.54497232994407,0.0001
562,-22.886830163450284,-131.55697376980228,0.0001
563,-82.4702406049665,-130.35552175840004,0.0001
564,-136.78018789747924,-130.05694557046482,0.0001
565,-80.58873678540382,-129.23632822116463,0.0001
566,-110.57438417537705,-129.2609046038645,0.0001
567,-88.64692451491646,-128.91663114668813,0.0001
568,-111.58730714175029,-128.29795924808383,0.0001
569,-29.663847884564845,-126.89421964794205,0.0001
570,-180.67479750164205,-127.8587005143602,0.0001
571,-159.55196808026292,-128.2568622806445,0.0001
572,-178.71794176207985,-128.632491227544,0.0001
573,-153.1677704734115,-129.43280603608977,0.0001
574,-130.91842451267868,-128.97614957608138,0.0001
575,-146.77779572758214,-128.94411923993485,0.0001
576,-143.42857484566468,-128.87788552013643,0.0001
577,-152.15349652390182,-128.9569983436905,0.0001
578,-77.80030956304078,-128.9532042098333,0.0001
579,-148.76013863475836,-129.75495887762773,0.0001
580,-141.28397410259538,-129.2005978609604,0.0001
581,-86.92692251739933,-128.8284734115837,0.0001
582,-132.28021484475212,-128.8403199861037,0.0001
583,-159.9190002052182,-128.91811837428395,0.0001
584,-262.52393350193427,-129.94011538852828,0.0001
585,-150.5497653376002,-129.6440291475368,0.0001
586,-199.66411085765344,-131.36245732573013,0.0001
587,-176.5975433860164,-131.14518441688452,0.0001
588,-113.12545103810601,-131.5676442617264,0.0001
589,-143.0600166753636,-131.23491037283816,0.0001
