episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
42073,570,10,cramped_room,8.77,8.363333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,28,0,0,30,30,30,0,0,11,10,1,1,10,10,0,200,170,0.0,0.9333333333333333,0.0,1.0,1.0
42074,498,9,cramped_room,8.76,8.36,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,18,1,9,2,9,9,0,180,138,0.0,1.0,0.0,1.0,1.0
42075,501,9,cramped_room,8.75,8.356666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,29,29,29,0,0,20,3,11,5,9,9,0,180,141,0.0,1.0,0.0,1.0,1.0
42076,470,8,cramped_room,8.73,8.35,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,29,2,2,28,28,28,0,0,12,7,3,1,9,9,0,160,150,0.0,0.8564814814814814,0.0,1.0,1.0
42077,513,9,cramped_room,8.72,8.346666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,28,28,0,0,28,28,28,0,0,10,8,1,1,9,9,0,180,153,0.0,1.0,0.0,1.0,1.0
42078,522,9,cramped_room,8.71,8.343333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
42079,510,9,cramped_room,8.7,8.34,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,15,5,6,4,9,9,0,180,150,0.0,1.0,0.0,1.0,1.0
42080,525,9,cramped_room,8.69,8.336666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,29,0,0,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,0.9761904761904762,0.0,1.0,1.0
42081,525,9,cramped_room,8.69,8.336666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,30,2,1,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,0.9565217391304348,0.0,1.0,1.0
42082,492,9,cramped_room,8.68,8.333333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,28,27,0,0,28,28,28,0,0,22,1,13,3,9,9,0,180,132,0.0,0.9736842105263157,0.0,1.0,1.0
42083,525,9,cramped_room,8.67,8.33,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,1.0,0.0,1.0,1.0
